#,Position,Type,Poids %,Δ poids (pts),Titres,Δ titres %,Δ prix %,Statut,Valeur $,T1 26,T4 25,T3 25,T2 25,T1 25,T4 24
107,HIG,Actions,0.1394578149826232,-0.11682706101221899,231050.0,-54.69572310371061,-1.8650204795445102,Allégé,31244892.0,0.1394578149826232,0.2562848759948422,0.35175421414218555,0.3597173512556743,0.3527086654433981,0.1738251936157335
108,NVT,Actions,0.13789071346228415,0.091977908774523,261192.0,111.54631159490718,15.994900993502936,Renforcé,30893790.0,0.13789071346228415,0.04591280468776115,0.04475989707821559,,,
109,GRAB,Actions,0.13596412688190665,-0.07392550381894258,8322991.0,-27.84009111076181,-26.65330666848822,Allégé,30462147.0,0.13596412688190665,0.20988963070084923,0.35790885560585256,0.2146903160987054,0.1396088809548134,0.03344218049392668
110,FNB,Actions,0.13548966516219682,0.01895447435209416,1815541.0,-2.8479282005948323,-2.222220064161118,Allégé,30355846.0,0.13548966516219682,0.11653519081010266,0.07919766814060879,,,
111,NXT,Actions,0.1354276554287801,0.0545068455247191,251696.0,-1.192228725763839,38.3882433526787,Allégé,30341953.0,0.1354276554287801,0.080920809904061,0.025936825242611105,0.004258067928929097,0.02257758515729405,0.035338420305270374
112,TOL,Actions,0.13245014825732107,-0.020556922224059138,217446.0,-29.92100861460519,0.9244210937187081,Allégé,29674856.0,0.13245014825732107,0.1530070704813802,0.21343625105209865,0.1992998348974182,0.13610097963701578,0.2466727265421438
113,SHEL,Actions,0.12957459360372747,-0.13934771876332697,312157.0,-68.89556057980603,26.56505164610019,Allégé,29030601.0,0.12957459360372747,0.26892231236705444,0.3136356146361204,0.36990925268988134,0.35737131317190984,0.23869610361504598
114,QCOM,Actions,0.12866362228143458,-0.008624931314974965,223843.0,1.704287298039002,-24.712072091954074,Renforcé,28826502.0,0.12866362228143458,0.13728855359640954,0.3460707122949089,0.49062437004013865,0.7768646669445417,0.6343324350226226
115,GMED,Actions,0.1270844339290152,0.03657966585132981,330463.0,16.257871591908533,-1.3171480677250047,Renforcé,28472692.0,0.1270844339290152,0.09050476807768539,0.1034433406858023,0.10394777286556123,0.045206093176361685,
116,CRWV,Actions,0.1258718452637894,,364025.0,,,Nouveau,28201017.0,0.1258718452637894,,0.14504096414004203,,,
117,BNY,Actions,0.12514301553807528,-0.022898161949398643,236346.0,-32.412321841184145,2.187957490602832,Allégé,28037726.0,0.12514301553807528,0.14804117748747392,0.1710511803140753,0.20285255424178505,0.407480708209715,0.34884232839289275
118,PSX,Actions,0.12461672951730007,0.09755051070898131,153254.0,166.44991915433698,41.181024467082736,Renforcé,27919814.0,0.12461672951730007,0.027066218808318766,0.014558606269879964,,,
119,COST,Actions,0.12282954767339443,0.027411677076097055,27618.0,-8.977654736009493,15.549553549321171,Allégé,27519404.0,0.12282954767339443,0.09541787059729738,0.150456662537319,0.10006527397561348,0.1454420400251897,0.33773053915588813
120,SU,Actions,0.12132468798221367,0.04556029231681093,412239.0,-11.81544174743782,48.36608497352639,Allégé,27182247.0,0.12132468798221367,0.07576439566540275,0.0833958957955024,0.075036285925793,0.2017411469552574,0.12017715411300461
121,EVR,Actions,0.12049628471998526,-0.014038488574938654,90438.0,-16.58934747521328,-12.26745104449316,Allégé,26996647.0,0.12049628471998526,0.13453477329492392,0.09419259691460369,0.005165859156574103,0.04196181138560824,0.042262746820994214
122,LUV,Actions,0.11744413198733275,0.10681064769250997,700368.0,892.7116553982225,-9.097512334172153,Renforcé,26312826.0,0.11744413198733275,0.010633484294822774,,,0.1329015337187277,
123,DG,Actions,0.11474144402741426,0.07971682417993974,216519.0,199.31571235035528,-10.574675141546773,Renforcé,25707301.0,0.11474144402741426,0.03502461984747453,0.019066631011541078,0.005715837278108509,0.0067152482595551274,0.04239838901451582
124,MELI,Actions,0.11322010553858186,-0.010081784020556456,14671.0,-12.599785535565353,-14.161032350267577,Allégé,25366452.0,0.11322010553858186,0.12330188955913832,0.2424670005740657,0.020873857741714092,0.015404819852281523,0.013705771391464325
125,GILD,Actions,0.11242948032167402,-0.01845235698556516,180737.0,-38.189708829504184,13.548968081990864,Allégé,25189316.0,0.11242948032167402,0.13088183730723918,0.1675648113967832,0.2979732768783816,0.26146163366073794,0.1952067359790246
126,AME,Actions,0.11146753720382807,0.10801745579773309,116504.0,2428.298611111111,4.40801957121395,Renforcé,24973797.0,0.11146753720382807,0.003450081406094982,0.02665748227388618,,0.0010110758330408045,0.0009355528868297715
127,OGE,Actions,0.1108783532370867,0.021902364620008274,517969.0,-9.350416610517732,12.318499625488455,Allégé,24841793.0,0.1108783532370867,0.08897598861707842,0.1021771894467665,0.07894027990121742,0.04163639407077031,0.00661197122215479
128,IREN,Actions,0.1103048803666979,0.07219441004650523,720925.0,160.55521020065922,-9.240139759739874,Renforcé,24713309.0,0.1103048803666979,0.03811047032019268,0.01433618493573434,,,
